,Month,Day,measurement,reading
119,8,28,Ozone,76
120,8,29,Ozone,118
121,8,30,Ozone,84
122,8,31,Ozone,85
123,9,1,Ozone,96
124,9,2,Ozone,78
125,9,3,Ozone,73
126,9,4,Ozone,91
127,9,5,Ozone,47
128,9,6,Ozone,32
129,9,7,Ozone,20
130,9,8,Ozone,23
131,9,9,Ozone,21
132,9,10,Ozone,24
133,9,11,Ozone,44
134,9,12,Ozone,21
135,9,13,Ozone,28
136,9,14,Ozone,9
137,9,15,Ozone,13
138,9,16,Ozone,46
139,9,17,Ozone,18
140,9,18,Ozone,13
141,9,19,Ozone,24
142,9,20,Ozone,16
143,9,21,Ozone,13
144,9,22,Ozone,23
145,9,23,Ozone,36
146,9,24,Ozone,7
147,9,25,Ozone,14
148,9,26,Ozone,30
149,9,27,Ozone,
150,9,28,Ozone,14
151,9,29,Ozone,18
152,9,30,Ozone,20
153,5,1,Solar.R,190
154,5,2,Solar.R,118
155,5,3,Solar.R,149
156,5,4,Solar.R,313
157,5,5,Solar.R,
158,5,6,Solar.R,
159,5,7,Solar.R,299
160,5,8,Solar.R,99
161,5,9,Solar.R,19
162,5,10,Solar.R,194
163,5,11,Solar.R,
164,5,12,Solar.R,256
165,5,13,Solar.R,290
166,5,14,Solar.R,274
167,5,15,Solar.R,65
168,5,16,Solar.R,334
169,5,17,Solar.R,307
170,5,18,Solar.R,78
171,5,19,Solar.R,322
172,5,20,Solar.R,44
173,5,21,Solar.R,8
174,5,22,Solar.R,320
175,5,23,Solar.R,25
176,5,24,Solar.R,92
177,5,25,Solar.R,66
178,5,26,Solar.R,266
179,5,27,Solar.R,
180,5,28,Solar.R,13
181,5,29,Solar.R,252
182,5,30,Solar.R,223
183,5,31,Solar.R,279
184,6,1,Solar.R,286
185,6,2,Solar.R,287
186,6,3,Solar.R,242
187,6,4,Solar.R,186
188,6,5,Solar.R,220
189,6,6,Solar.R,264
190,6,7,Solar.R,127
191,6,8,Solar.R,273
192,6,9,Solar.R,291
193,6,10,Solar.R,323
194,6,11,Solar.R,259
195,6,12,Solar.R,250
196,6,13,Solar.R,148
197,6,14,Solar.R,332
198,6,15,Solar.R,322
199,6,16,Solar.R,191
200,6,17,Solar.R,284
201,6,18,Solar.R,37
202,6,19,Solar.R,120
203,6,20,Solar.R,137
204,6,21,Solar.R,150
205,6,22,Solar.R,59
206,6,23,Solar.R,91
207,6,24,Solar.R,250
208,6,25,Solar.R,135
209,6,26,Solar.R,127
210,6,27,Solar.R,47
211,6,28,Solar.R,98
212,6,29,Solar.R,31
213,6,30,Solar.R,138
214,7,1,Solar.R,269
215,7,2,Solar.R,248
216,7,3,Solar.R,236
217,7,4,Solar.R,101
218,7,5,Solar.R,175
219,7,6,Solar.R,314
220,7,7,Solar.R,276
221,7,8,Solar.R,267
222,7,9,Solar.R,272
223,7,10,Solar.R,175
224,7,11,Solar.R,139
225,7,12,Solar.R,264
226,7,13,Solar.R,175
227,7,14,Solar.R,291
228,7,15,Solar.R,48
229,7,16,Solar.R,260
230,7,17,Solar.R,274
231,7,18,Solar.R,285
232,7,19,Solar.R,187
233,7,20,Solar.R,220
234,7,21,Solar.R,7
235,7,22,Solar.R,258
236,7,23,Solar.R,295
237,7,24,Solar.R,294
238,7,25,Solar.R,223
239,7,26,Solar.R,81
240,7,27,Solar.R,82
241,7,28,Solar.R,213
242,7,29,Solar.R,275
243,7,30,Solar.R,253
244,7,31,Solar.R,254
245,8,1,Solar.R,83
246,8,2,Solar.R,24
247,8,3,Solar.R,77
248,8,4,Solar.R,
249,8,5,Solar.R,
250,8,6,Solar.R,
251,8,7,Solar.R,255
252,8,8,Solar.R,229
253,8,9,Solar.R,207
254,8,10,Solar.R,222
255,8,11,Solar.R,137
256,8,12,Solar.R,192
257,8,13,Solar.R,273
258,8,14,Solar.R,157
259,8,15,Solar.R,64
260,8,16,Solar.R,71
261,8,17,Solar.R,51
262,8,18,Solar.R,115
263,8,19,Solar.R,244
264,8,20,Solar.R,190
265,8,21,Solar.R,259
266,8,22,Solar.R,36
267,8,23,Solar.R,255
268,8,24,Solar.R,212
269,8,25,Solar.R,238
270,8,26,Solar.R,215
271,8,27,Solar.R,153
272,8,28,Solar.R,203
273,8,29,Solar.R,225
274,8,30,Solar.R,237
275,8,31,Solar.R,188
276,9,1,Solar.R,167
277,9,2,Solar.R,197
278,9,3,Solar.R,183
279,9,4,Solar.R,189
280,9,5,Solar.R,95
281,9,6,Solar.R,92
282,9,7,Solar.R,252
283,9,8,Solar.R,220
284,9,9,Solar.R,230
285,9,10,Solar.R,259
286,9,11,Solar.R,236
287,9,12,Solar.R,259
288,9,13,Solar.R,238
289,9,14,Solar.R,24
290,9,15,Solar.R,112
291,9,16,Solar.R,237
292,9,17,Solar.R,224
293,9,18,Solar.R,27
294,9,19,Solar.R,238
295,9,20,Solar.R,201
296,9,21,Solar.R,238
297,9,22,Solar.R,14
298,9,23,Solar.R,139
299,9,24,Solar.R,49
300,9,25,Solar.R,20
301,9,26,Solar.R,193
302,9,27,Solar.R,145
303,9,28,Solar.R,191
304,9,29,Solar.R,131
305,9,30,Solar.R,223
306,5,1,Wind,7.4
307,5,2,Wind,8
308,5,3,Wind,12.6
309,5,4,Wind,11.5
310,5,5,Wind,14.3
311,5,6,Wind,14.9
312,5,7,Wind,8.6
313,5,8,Wind,13.8
314,5,9,Wind,20.1
315,5,10,Wind,8.6
316,5,11,Wind,6.9
317,5,12,Wind,9.7
318,5,13,Wind,9.2
319,5,14,Wind,10.9
320,5,15,Wind,13.2
321,5,16,Wind,11.5
322,5,17,Wind,12
323,5,18,Wind,18.4
324,5,19,Wind,11.5
325,5,20,Wind,9.7
326,5,21,Wind,9.7
327,5,22,Wind,16.6
328,5,23,Wind,9.7
329,5,24,Wind,12
330,5,25,Wind,16.6
331,5,26,Wind,14.9
332,5,27,Wind,8
333,5,28,Wind,12
334,5,29,Wind,14.9
335,5,30,Wind,5.7
336,5,31,Wind,7.4
337,6,1,Wind,8.6
338,6,2,Wind,9.7
339,6,3,Wind,16.1
340,6,4,Wind,9.2
341,6,5,Wind,8.6
342,6,6,Wind,14.3
343,6,7,Wind,9.7
344,6,8,Wind,6.9
345,6,9,Wind,13.8
346,6,10,Wind,11.5
347,6,11,Wind,10.9
348,6,12,Wind,9.2
349,6,13,Wind,8
350,6,14,Wind,13.8
351,6,15,Wind,11.5
352,6,16,Wind,14.9
353,6,17,Wind,20.7
354,6,18,Wind,9.2
355,6,19,Wind,11.5
356,6,20,Wind,10.3
357,6,21,Wind,6.3
358,6,22,Wind,1.7
359,6,23,Wind,4.6
360,6,24,Wind,6.3
361,6,25,Wind,8
362,6,26,Wind,8
363,6,27,Wind,10.3
364,6,28,Wind,11.5
365,6,29,Wind,14.9
366,6,30,Wind,8
367,7,1,Wind,4.1
368,7,2,Wind,9.2
369,7,3,Wind,9.2
370,7,4,Wind,10.9
371,7,5,Wind,4.6
372,7,6,Wind,10.9
373,7,7,Wind,5.1
374,7,8,Wind,6.3
375,7,9,Wind,5.7
376,7,10,Wind,7.4
377,7,11,Wind,8.6
378,7,12,Wind,14.3
379,7,13,Wind,14.9
380,7,14,Wind,14.9
381,7,15,Wind,14.3
382,7,16,Wind,6.9
383,7,17,Wind,10.3
384,7,18,Wind,6.3
385,7,19,Wind,5.1
386,7,20,Wind,11.5
387,7,21,Wind,6.9
388,7,22,Wind,9.7
389,7,23,Wind,11.5
390,7,24,Wind,8.6
391,7,25,Wind,8
392,7,26,Wind,8.6
393,7,27,Wind,12
394,7,28,Wind,7.4
395,7,29,Wind,7.4
396,7,30,Wind,7.4
397,7,31,Wind,9.2
398,8,1,Wind,6.9
399,8,2,Wind,13.8
400,8,3,Wind,7.4
401,8,4,Wind,6.9
402,8,5,Wind,7.4
403,8,6,Wind,4.6
404,8,7,Wind,4
405,8,8,Wind,10.3
406,8,9,Wind,8
407,8,10,Wind,8.6
408,8,11,Wind,11.5
409,8,12,Wind,11.5
410,8,13,Wind,11.5
411,8,14,Wind,9.7
412,8,15,Wind,11.5
413,8,16,Wind,10.3
414,8,17,Wind,6.3
415,8,18,Wind,7.4
416,8,19,Wind,10.9
0,5,1,Ozone,41
1,5,2,Ozone,36
2,5,3,Ozone,12
3,5,4,Ozone,18
4,5,5,Ozone,
5,5,6,Ozone,28
6,5,7,Ozone,23
7,5,8,Ozone,19
8,5,9,Ozone,8
9,5,10,Ozone,
10,5,11,Ozone,7
11,5,12,Ozone,16
12,5,13,Ozone,11
13,5,14,Ozone,14
14,5,15,Ozone,18
15,5,16,Ozone,14
16,5,17,Ozone,34
17,5,18,Ozone,6
18,5,19,Ozone,30
19,5,20,Ozone,11
20,5,21,Ozone,1
21,5,22,Ozone,11
22,5,23,Ozone,4
23,5,24,Ozone,32
24,5,25,Ozone,
25,5,26,Ozone,
26,5,27,Ozone,
27,5,28,Ozone,23
28,5,29,Ozone,45
29,5,30,Ozone,115
30,5,31,Ozone,37
31,6,1,Ozone,
32,6,2,Ozone,
33,6,3,Ozone,
34,6,4,Ozone,
35,6,5,Ozone,
36,6,6,Ozone,
37,6,7,Ozone,29
38,6,8,Ozone,
39,6,9,Ozone,71
40,6,10,Ozone,39
41,6,11,Ozone,
42,6,12,Ozone,
43,6,13,Ozone,23
44,6,14,Ozone,
45,6,15,Ozone,
46,6,16,Ozone,21
47,6,17,Ozone,37
48,6,18,Ozone,20
49,6,19,Ozone,12
50,6,20,Ozone,13
51,6,21,Ozone,
52,6,22,Ozone,
53,6,23,Ozone,
54,6,24,Ozone,
55,6,25,Ozone,
56,6,26,Ozone,
57,6,27,Ozone,
58,6,28,Ozone,
59,6,29,Ozone,
60,6,30,Ozone,
61,7,1,Ozone,135
62,7,2,Ozone,49
63,7,3,Ozone,32
64,7,4,Ozone,
65,7,5,Ozone,64
66,7,6,Ozone,40
67,7,7,Ozone,77
68,7,8,Ozone,97
69,7,9,Ozone,97
70,7,10,Ozone,85
71,7,11,Ozone,
72,7,12,Ozone,10
73,7,13,Ozone,27
74,7,14,Ozone,
75,7,15,Ozone,7
76,7,16,Ozone,48
77,7,17,Ozone,35
78,7,18,Ozone,61
79,7,19,Ozone,79
80,7,20,Ozone,63
81,7,21,Ozone,16
82,7,22,Ozone,
83,7,23,Ozone,
84,7,24,Ozone,80
85,7,25,Ozone,108
86,7,26,Ozone,20
87,7,27,Ozone,52
88,7,28,Ozone,82
89,7,29,Ozone,50
90,7,30,Ozone,64
91,7,31,Ozone,59
92,8,1,Ozone,39
93,8,2,Ozone,9
94,8,3,Ozone,16
95,8,4,Ozone,78
96,8,5,Ozone,35
97,8,6,Ozone,66
98,8,7,Ozone,122
99,8,8,Ozone,89
100,8,9,Ozone,110
101,8,10,Ozone,
102,8,11,Ozone,
103,8,12,Ozone,44
104,8,13,Ozone,28
105,8,14,Ozone,65
106,8,15,Ozone,
107,8,16,Ozone,22
108,8,17,Ozone,59
109,8,18,Ozone,23
110,8,19,Ozone,31
111,8,20,Ozone,44
112,8,21,Ozone,21
113,8,22,Ozone,9
114,8,23,Ozone,
115,8,24,Ozone,45
116,8,25,Ozone,168
117,8,26,Ozone,73
118,8,27,Ozone,
119,8,28,Ozone,76
120,8,29,Ozone,118
121,8,30,Ozone,84
122,8,31,Ozone,85
123,9,1,Ozone,96
124,9,2,Ozone,78
125,9,3,Ozone,73
126,9,4,Ozone,91
127,9,5,Ozone,47
128,9,6,Ozone,32
129,9,7,Ozone,20
130,9,8,Ozone,23
131,9,9,Ozone,21
132,9,10,Ozone,24
133,9,11,Ozone,44
134,9,12,Ozone,21
135,9,13,Ozone,28
136,9,14,Ozone,9
137,9,15,Ozone,13
138,9,16,Ozone,46
139,9,17,Ozone,18
140,9,18,Ozone,13
141,9,19,Ozone,24
142,9,20,Ozone,16
143,9,21,Ozone,13
144,9,22,Ozone,23
145,9,23,Ozone,36
146,9,24,Ozone,7
147,9,25,Ozone,14
148,9,26,Ozone,30
149,9,27,Ozone,
150,9,28,Ozone,14
151,9,29,Ozone,18
152,9,30,Ozone,20
153,5,1,Solar.R,190
154,5,2,Solar.R,118
155,5,3,Solar.R,149
156,5,4,Solar.R,313
157,5,5,Solar.R,
158,5,6,Solar.R,
159,5,7,Solar.R,299
160,5,8,Solar.R,99
161,5,9,Solar.R,19
162,5,10,Solar.R,194
163,5,11,Solar.R,
164,5,12,Solar.R,256
165,5,13,Solar.R,290
166,5,14,Solar.R,274
167,5,15,Solar.R,65
168,5,16,Solar.R,334
169,5,17,Solar.R,307
170,5,18,Solar.R,78
171,5,19,Solar.R,322
172,5,20,Solar.R,44
173,5,21,Solar.R,8
174,5,22,Solar.R,320
175,5,23,Solar.R,25
176,5,24,Solar.R,92
177,5,25,Solar.R,66
178,5,26,Solar.R,266
179,5,27,Solar.R,
180,5,28,Solar.R,13
181,5,29,Solar.R,252
182,5,30,Solar.R,223
183,5,31,Solar.R,279
184,6,1,Solar.R,286
185,6,2,Solar.R,287
186,6,3,Solar.R,242
187,6,4,Solar.R,186
188,6,5,Solar.R,220
189,6,6,Solar.R,264
190,6,7,Solar.R,127
191,6,8,Solar.R,273
192,6,9,Solar.R,291
193,6,10,Solar.R,323
194,6,11,Solar.R,259
195,6,12,Solar.R,250
196,6,13,Solar.R,148
197,6,14,Solar.R,332
198,6,15,Solar.R,322
199,6,16,Solar.R,191
200,6,17,Solar.R,284
201,6,18,Solar.R,37
202,6,19,Solar.R,120
203,6,20,Solar.R,137
204,6,21,Solar.R,150
205,6,22,Solar.R,59
206,6,23,Solar.R,91
207,6,24,Solar.R,250
208,6,25,Solar.R,135
209,6,26,Solar.R,127
210,6,27,Solar.R,47
211,6,28,Solar.R,98
212,6,29,Solar.R,31
213,6,30,Solar.R,138
214,7,1,Solar.R,269
215,7,2,Solar.R,248
216,7,3,Solar.R,236
217,7,4,Solar.R,101
218,7,5,Solar.R,175
219,7,6,Solar.R,314
220,7,7,Solar.R,276
221,7,8,Solar.R,267
222,7,9,Solar.R,272
223,7,10,Solar.R,175
224,7,11,Solar.R,139
225,7,12,Solar.R,264
226,7,13,Solar.R,175
227,7,14,Solar.R,291
228,7,15,Solar.R,48
229,7,16,Solar.R,260
230,7,17,Solar.R,274
231,7,18,Solar.R,285
232,7,19,Solar.R,187
233,7,20,Solar.R,220
234,7,21,Solar.R,7
235,7,22,Solar.R,258
236,7,23,Solar.R,295
237,7,24,Solar.R,294
238,7,25,Solar.R,223
239,7,26,Solar.R,81
240,7,27,Solar.R,82
241,7,28,Solar.R,213
242,7,29,Solar.R,275
243,7,30,Solar.R,253
244,7,31,Solar.R,254
245,8,1,Solar.R,83
246,8,2,Solar.R,24
247,8,3,Solar.R,77
248,8,4,Solar.R,
249,8,5,Solar.R,
250,8,6,Solar.R,
251,8,7,Solar.R,255
252,8,8,Solar.R,229
253,8,9,Solar.R,207
254,8,10,Solar.R,222
255,8,11,Solar.R,137
256,8,12,Solar.R,192
257,8,13,Solar.R,273
258,8,14,Solar.R,157
259,8,15,Solar.R,64
260,8,16,Solar.R,71
261,8,17,Solar.R,51
262,8,18,Solar.R,115
263,8,19,Solar.R,244
264,8,20,Solar.R,190
265,8,21,Solar.R,259
266,8,22,Solar.R,36
267,8,23,Solar.R,255
268,8,24,Solar.R,212
269,8,25,Solar.R,238
270,8,26,Solar.R,215
271,8,27,Solar.R,153
272,8,28,Solar.R,203
273,8,29,Solar.R,225
274,8,30,Solar.R,237
275,8,31,Solar.R,188
276,9,1,Solar.R,167
277,9,2,Solar.R,197
278,9,3,Solar.R,183
279,9,4,Solar.R,189
280,9,5,Solar.R,95
281,9,6,Solar.R,92
282,9,7,Solar.R,252
283,9,8,Solar.R,220
284,9,9,Solar.R,230
285,9,10,Solar.R,259
286,9,11,Solar.R,236
287,9,12,Solar.R,259
288,9,13,Solar.R,238
289,9,14,Solar.R,24
290,9,15,Solar.R,112
291,9,16,Solar.R,237
292,9,17,Solar.R,224
293,9,18,Solar.R,27
294,9,19,Solar.R,238
295,9,20,Solar.R,201
296,9,21,Solar.R,238
297,9,22,Solar.R,14
298,9,23,Solar.R,139
299,9,24,Solar.R,49
300,9,25,Solar.R,20
301,9,26,Solar.R,193
302,9,27,Solar.R,145
303,9,28,Solar.R,191
304,9,29,Solar.R,131
305,9,30,Solar.R,223
306,5,1,Wind,7.4
307,5,2,Wind,8
308,5,3,Wind,12.6
309,5,4,Wind,11.5
310,5,5,Wind,14.3
311,5,6,Wind,14.9
312,5,7,Wind,8.6
313,5,8,Wind,13.8
314,5,9,Wind,20.1
315,5,10,Wind,8.6
316,5,11,Wind,6.9
317,5,12,Wind,9.7
318,5,13,Wind,9.2
319,5,14,Wind,10.9
320,5,15,Wind,13.2
321,5,16,Wind,11.5
322,5,17,Wind,12
323,5,18,Wind,18.4
324,5,19,Wind,11.5
325,5,20,Wind,9.7
326,5,21,Wind,9.7
327,5,22,Wind,16.6
328,5,23,Wind,9.7
329,5,24,Wind,12
330,5,25,Wind,16.6
331,5,26,Wind,14.9
332,5,27,Wind,8
333,5,28,Wind,12
334,5,29,Wind,14.9
335,5,30,Wind,5.7
336,5,31,Wind,7.4
337,6,1,Wind,8.6
338,6,2,Wind,9.7
339,6,3,Wind,16.1
340,6,4,Wind,9.2
341,6,5,Wind,8.6
342,6,6,Wind,14.3
343,6,7,Wind,9.7
344,6,8,Wind,6.9
345,6,9,Wind,13.8
346,6,10,Wind,11.5
347,6,11,Wind,10.9
348,6,12,Wind,9.2
349,6,13,Wind,8
350,6,14,Wind,13.8
351,6,15,Wind,11.5
352,6,16,Wind,14.9
353,6,17,Wind,20.7
354,6,18,Wind,9.2
355,6,19,Wind,11.5
356,6,20,Wind,10.3
357,6,21,Wind,6.3
358,6,22,Wind,1.7
359,6,23,Wind,4.6
360,6,24,Wind,6.3
361,6,25,Wind,8
362,6,26,Wind,8
363,6,27,Wind,10.3
364,6,28,Wind,11.5
365,6,29,Wind,14.9
366,6,30,Wind,8
367,7,1,Wind,4.1
368,7,2,Wind,9.2
369,7,3,Wind,9.2
370,7,4,Wind,10.9
371,7,5,Wind,4.6
372,7,6,Wind,10.9
373,7,7,Wind,5.1
374,7,8,Wind,6.3
375,7,9,Wind,5.7
376,7,10,Wind,7.4
377,7,11,Wind,8.6
378,7,12,Wind,14.3
379,7,13,Wind,14.9
380,7,14,Wind,14.9
381,7,15,Wind,14.3
382,7,16,Wind,6.9
383,7,17,Wind,10.3
384,7,18,Wind,6.3
385,7,19,Wind,5.1
386,7,20,Wind,11.5
387,7,21,Wind,6.9
388,7,22,Wind,9.7
389,7,23,Wind,11.5
390,7,24,Wind,8.6
391,7,25,Wind,8
392,7,26,Wind,8.6
393,7,27,Wind,12
394,7,28,Wind,7.4
395,7,29,Wind,7.4
396,7,30,Wind,7.4
397,7,31,Wind,9.2
398,8,1,Wind,6.9
399,8,2,Wind,13.8
400,8,3,Wind,7.4
401,8,4,Wind,6.9
402,8,5,Wind,7.4
403,8,6,Wind,4.6
404,8,7,Wind,4
405,8,8,Wind,10.3
406,8,9,Wind,8
407,8,10,Wind,8.6
408,8,11,Wind,11.5
409,8,12,Wind,11.5
410,8,13,Wind,11.5
411,8,14,Wind,9.7
412,8,15,Wind,11.5
413,8,16,Wind,10.3
414,8,17,Wind,6.3
415,8,18,Wind,7.4
416,8,19,Wind,10.9
