,Month,Day,measurement,reading
170,5,18,Solar.R,78.0
171,5,19,Solar.R,322.0
172,5,20,Solar.R,44.0
173,5,21,Solar.R,8.0
174,5,22,Solar.R,320.0
175,5,23,Solar.R,25.0
176,5,24,Solar.R,92.0
177,5,25,Solar.R,66.0
178,5,26,Solar.R,266.0
179,5,27,Solar.R,
180,5,28,Solar.R,13.0
181,5,29,Solar.R,252.0
182,5,30,Solar.R,223.0
183,5,31,Solar.R,279.0
184,6,1,Solar.R,286.0
185,6,2,Solar.R,287.0
186,6,3,Solar.R,242.0
187,6,4,Solar.R,186.0
188,6,5,Solar.R,220.0
189,6,6,Solar.R,264.0
190,6,7,Solar.R,127.0
191,6,8,Solar.R,273.0
192,6,9,Solar.R,291.0
193,6,10,Solar.R,323.0
194,6,11,Solar.R,259.0
195,6,12,Solar.R,250.0
196,6,13,Solar.R,148.0
197,6,14,Solar.R,332.0
198,6,15,Solar.R,322.0
199,6,16,Solar.R,191.0
200,6,17,Solar.R,284.0
201,6,18,Solar.R,37.0
202,6,19,Solar.R,120.0
203,6,20,Solar.R,137.0
204,6,21,Solar.R,150.0
205,6,22,Solar.R,59.0
206,6,23,Solar.R,91.0
207,6,24,Solar.R,250.0
208,6,25,Solar.R,135.0
209,6,26,Solar.R,127.0
210,6,27,Solar.R,47.0
211,6,28,Solar.R,98.0
212,6,29,Solar.R,31.0
213,6,30,Solar.R,138.0
214,7,1,Solar.R,269.0
215,7,2,Solar.R,248.0
216,7,3,Solar.R,236.0
217,7,4,Solar.R,101.0
218,7,5,Solar.R,175.0
219,7,6,Solar.R,314.0
220,7,7,Solar.R,276.0
221,7,8,Solar.R,267.0
222,7,9,Solar.R,272.0
223,7,10,Solar.R,175.0
224,7,11,Solar.R,139.0
225,7,12,Solar.R,264.0
226,7,13,Solar.R,175.0
227,7,14,Solar.R,291.0
228,7,15,Solar.R,48.0
229,7,16,Solar.R,260.0
230,7,17,Solar.R,274.0
231,7,18,Solar.R,285.0
232,7,19,Solar.R,187.0
233,7,20,Solar.R,220.0
234,7,21,Solar.R,7.0
235,7,22,Solar.R,258.0
236,7,23,Solar.R,295.0
237,7,24,Solar.R,294.0
238,7,25,Solar.R,223.0
239,7,26,Solar.R,81.0
240,7,27,Solar.R,82.0
241,7,28,Solar.R,213.0
242,7,29,Solar.R,275.0
243,7,30,Solar.R,253.0
244,7,31,Solar.R,254.0
245,8,1,Solar.R,83.0
246,8,2,Solar.R,24.0
247,8,3,Solar.R,77.0
248,8,4,Solar.R,
249,8,5,Solar.R,
250,8,6,Solar.R,
251,8,7,Solar.R,255.0
252,8,8,Solar.R,229.0
253,8,9,Solar.R,207.0
254,8,10,Solar.R,222.0
255,8,11,Solar.R,137.0
256,8,12,Solar.R,192.0
257,8,13,Solar.R,273.0
258,8,14,Solar.R,157.0
259,8,15,Solar.R,64.0
260,8,16,Solar.R,71.0
261,8,17,Solar.R,51.0
262,8,18,Solar.R,115.0
263,8,19,Solar.R,244.0
264,8,20,Solar.R,190.0
265,8,21,Solar.R,259.0
266,8,22,Solar.R,36.0
267,8,23,Solar.R,255.0
268,8,24,Solar.R,212.0
269,8,25,Solar.R,238.0
270,8,26,Solar.R,215.0
271,8,27,Solar.R,153.0
272,8,28,Solar.R,203.0
273,8,29,Solar.R,225.0
274,8,30,Solar.R,237.0
275,8,31,Solar.R,188.0
276,9,1,Solar.R,167.0
277,9,2,Solar.R,197.0
278,9,3,Solar.R,183.0
279,9,4,Solar.R,189.0
280,9,5,Solar.R,95.0
281,9,6,Solar.R,92.0
282,9,7,Solar.R,252.0
283,9,8,Solar.R,220.0
284,9,9,Solar.R,230.0
285,9,10,Solar.R,259.0
286,9,11,Solar.R,236.0
287,9,12,Solar.R,259.0
288,9,13,Solar.R,238.0
289,9,14,Solar.R,24.0
290,9,15,Solar.R,112.0
291,9,16,Solar.R,237.0
292,9,17,Solar.R,224.0
293,9,18,Solar.R,27.0
294,9,19,Solar.R,238.0
295,9,20,Solar.R,201.0
296,9,21,Solar.R,238.0
297,9,22,Solar.R,14.0
298,9,23,Solar.R,139.0
299,9,24,Solar.R,49.0
300,9,25,Solar.R,20.0
301,9,26,Solar.R,193.0
302,9,27,Solar.R,145.0
303,9,28,Solar.R,191.0
304,9,29,Solar.R,131.0
305,9,30,Solar.R,223.0
306,5,1,Wind,7.4
307,5,2,Wind,8.0
308,5,3,Wind,12.6
309,5,4,Wind,11.5
310,5,5,Wind,14.3
311,5,6,Wind,14.9
312,5,7,Wind,8.6
313,5,8,Wind,13.8
314,5,9,Wind,20.1
315,5,10,Wind,8.6
316,5,11,Wind,6.9
317,5,12,Wind,9.7
318,5,13,Wind,9.2
319,5,14,Wind,10.9
320,5,15,Wind,13.2
321,5,16,Wind,11.5
322,5,17,Wind,12.0
323,5,18,Wind,18.4
324,5,19,Wind,11.5
325,5,20,Wind,9.7
326,5,21,Wind,9.7
327,5,22,Wind,16.6
328,5,23,Wind,9.7
329,5,24,Wind,12.0
330,5,25,Wind,16.6
331,5,26,Wind,14.9
332,5,27,Wind,8.0
333,5,28,Wind,12.0
334,5,29,Wind,14.9
335,5,30,Wind,5.7
336,5,31,Wind,7.4
337,6,1,Wind,8.6
338,6,2,Wind,9.7
339,6,3,Wind,16.1
340,6,4,Wind,9.2
341,6,5,Wind,8.6
342,6,6,Wind,14.3
343,6,7,Wind,9.7
344,6,8,Wind,6.9
345,6,9,Wind,13.8
346,6,10,Wind,11.5
347,6,11,Wind,10.9
348,6,12,Wind,9.2
349,6,13,Wind,8.0
350,6,14,Wind,13.8
351,6,15,Wind,11.5
352,6,16,Wind,14.9
353,6,17,Wind,20.7
354,6,18,Wind,9.2
355,6,19,Wind,11.5
356,6,20,Wind,10.3
357,6,21,Wind,6.3
358,6,22,Wind,1.7
359,6,23,Wind,4.6
360,6,24,Wind,6.3
361,6,25,Wind,8.0
362,6,26,Wind,8.0
363,6,27,Wind,10.3
364,6,28,Wind,11.5
365,6,29,Wind,14.9
366,6,30,Wind,8.0
367,7,1,Wind,4.1
368,7,2,Wind,9.2
369,7,3,Wind,9.2
370,7,4,Wind,10.9
371,7,5,Wind,4.6
372,7,6,Wind,10.9
373,7,7,Wind,5.1
374,7,8,Wind,6.3
375,7,9,Wind,5.7
376,7,10,Wind,7.4
377,7,11,Wind,8.6
378,7,12,Wind,14.3
379,7,13,Wind,14.9
380,7,14,Wind,14.9
381,7,15,Wind,14.3
382,7,16,Wind,6.9
383,7,17,Wind,10.3
384,7,18,Wind,6.3
385,7,19,Wind,5.1
386,7,20,Wind,11.5
387,7,21,Wind,6.9
388,7,22,Wind,9.7
389,7,23,Wind,11.5
390,7,24,Wind,8.6
391,7,25,Wind,8.0
392,7,26,Wind,8.6
393,7,27,Wind,12.0
394,7,28,Wind,7.4
395,7,29,Wind,7.4
396,7,30,Wind,7.4
397,7,31,Wind,9.2
398,8,1,Wind,6.9
399,8,2,Wind,13.8
400,8,3,Wind,7.4
401,8,4,Wind,6.9
402,8,5,Wind,7.4
403,8,6,Wind,4.6
404,8,7,Wind,4.0
405,8,8,Wind,10.3
406,8,9,Wind,8.0
407,8,10,Wind,8.6
408,8,11,Wind,11.5
409,8,12,Wind,11.5
410,8,13,Wind,11.5
411,8,14,Wind,9.7
412,8,15,Wind,11.5
413,8,16,Wind,10.3
414,8,17,Wind,6.3
415,8,18,Wind,7.4
416,8,19,Wind,10.9
